datetime,close,high,low,open,volume
24-01-2014 00:00,114,115.35,113,113.15,5737135
27-01-2014 00:00,111.1,112.7,109.3,112,8724577
28-01-2014 00:00,113.8,115,109.75,110,4513345
29-01-2014 00:00,111.75,114.75,111.15,114.5,4713458
30-01-2014 00:00,108.1,110.7,107.6,110.2,5077231
31-01-2014 00:00,109.55,110,107,109.05,8287236
03-02-2014 00:00,103.45,109.4,103,109,5572627
04-02-2014 00:00,102.45,103.45,99.8,102,13935173
05-02-2014 00:00,104.25,105.15,101,102.4,9106760
06-02-2014 00:00,105.75,106.5,103.1,104.65,10194884
07-02-2014 00:00,106.4,107.7,104.75,106.15,9650511
10-02-2014 00:00,106.8,107.7,105.8,106.45,3124538
11-02-2014 00:00,104.55,107.1,104.25,106.9,3964390
12-02-2014 00:00,103.5,105.6,103.05,105.15,5325176
13-02-2014 00:00,100.2,104.55,99.75,103.9,12652556
14-02-2014 00:00,99.9,101,97.85,100.75,6390793
17-02-2014 00:00,98.5,100.75,97.65,100,6870442
18-02-2014 00:00,99.3,100.5,97.75,98.7,8475360
19-02-2014 00:00,98.85,100.1,98.4,99.6,4582897
20-02-2014 00:00,97.35,98.55,97.05,98.5,3404267
21-02-2014 00:00,97.65,98.25,97.3,97.3,6484994
24-02-2014 00:00,97.45,98.8,96.7,97.65,8047904
25-02-2014 00:00,98.8,99.05,97,97.15,15034041
26-02-2014 00:00,98.4,99.75,98.05,99.75,12130348
28-02-2014 00:00,105.35,106.4,99,99,26493472
03-03-2014 00:00,105.6,107.35,104.7,105,9870841
04-03-2014 00:00,113.6,114.25,105.4,105.4,16427565
05-03-2014 00:00,115.75,117.2,112.2,114.85,12023136
06-03-2014 00:00,120.8,121.2,114.7,115.75,16609108
07-03-2014 00:00,124.55,125.85,119.8,120.1,15695038
10-03-2014 00:00,121.95,123.5,121,123.05,8823020
11-03-2014 00:00,117.4,121.9,116.2,121.9,14421017
12-03-2014 00:00,114.75,118.4,113.95,115.7,9497798
13-03-2014 00:00,115.65,118.95,114.5,114.5,6402750
14-03-2014 00:00,115.2,116.1,113.5,114.7,5684021
18-03-2014 00:00,114.85,116.4,114.2,116,8034386
19-03-2014 00:00,120.05,121.1,114.05,115.25,15915307
20-03-2014 00:00,119.65,121.95,119,119.65,7021283
21-03-2014 00:00,123.5,124,119.8,120.55,10588714
22-03-2014 00:00,121.2,123.15,120.75,123.15,652207
24-03-2014 00:00,121.6,122.5,118.2,120,7514958
25-03-2014 00:00,120.75,122.65,120.25,120.95,8547719
26-03-2014 00:00,125.4,125.95,121.1,121.1,14059505
27-03-2014 00:00,125.4,126.45,124.05,125.2,6763076
28-03-2014 00:00,130.9,131.7,125,125.4,9719662
31-03-2014 00:00,141.75,142.95,131.05,132,27873616
01-04-2014 00:00,138.2,142.5,136.1,142,12584698
02-04-2014 00:00,136,139.55,134.6,139,10111996
03-04-2014 00:00,137.15,140.9,133.3,136,10256995
04-04-2014 00:00,137.65,139.4,136.1,137.9,5444146
07-04-2014 00:00,137.35,138.95,134.2,137.5,4661247
09-04-2014 00:00,142.9,143.95,137.8,138,9943888
10-04-2014 00:00,142.5,145.1,140.6,143.5,8923225
11-04-2014 00:00,140.7,143.25,139.2,141.1,5404598
15-04-2014 00:00,134.05,142.1,133.2,140.7,5422799
